[0120] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=e34f025b5c5b35be
[0121] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=40cf391ff0135bd6
[0122] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b405e49f9b207231
[0123] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f0ff00b22ad7932f
[0124] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c018ee4d6af87f41
[0125] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=40167fb2344ffa02
[0126] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=a020ff00c06a3fb2
[0127] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=8966976e7e799f73
[0128] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=bdcc504f293752e5
[0129] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=04d8754655550c01
[0130] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=69ddd31ef57bc27a
[0131] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fa64fd4d486ced8a
[0132] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fe11bd3544c91c0b
[0133] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=78a5f643ed1c7e97
[0134] [TS: 1773208135742207000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1273 | hex=154058804e4963f3
[0135] [TS: 1773208135742293500] Client(57919) -> Proj(3621) | VIDEO DATA | len=187 | hex=02700050019001a0
[0136] [TS: 1773208135748460600] Client(54294) -> Proj(3621) | AUX DATA | len=5 | hex=c9e4060000
[0137] [TS: 1773208135748500800] Client(54294) -> Proj(3621) | AUX DATA | len=1460 | hex=0000000000000000
[0138] [TS: 1773208135748500800] Client(54294) -> Proj(3621) | AUX DATA | len=304 | hex=0000000000000000
[0139] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=021101031101ffc4
[0140] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=6bdbfaff003ff0a0
[0141] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=514572ff00f09ce8
[0142] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=e10db2ff009f8b8f
[0143] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ff006ce9bff3fb07
[0144] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=079e2bdcbfb034bf
[0145] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=7ffc451ff0a17c29
[0146] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f7e968ff00867ed3
[0147] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=5ff91e27a56bfacb
[0148] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=003398ff00857fe1
[0149] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=47fba3f3a3db3ec1
[0150] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ff00c06a3fb2344f
[0151] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=d121d174e82d239a
[0152] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=19f6a64459de7760
[0153] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=cf5619c8faf06800
[0154] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2a96b7ff00206bff
[0155] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=46 | hex=009035ff00fd7bc9
[0156] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ffd8ffe000104a46
[0157] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=e4e7a70ac4e2a3f0
[0158] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=0d56d356d2ee249e
[0159] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=dab898062b9c8ef9
[0160] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c32056278c658118
[0161] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ad7dff00404beffb
[0162] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=0cf2453fc3afa28b
[0163] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=7fc28fb3dcff00cf
[0164] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=bfefa7a5f2a5ff00
[0165] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b58c403c86251953
[0166] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2828282828282828
[0167] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2f2180038fe138a5
[0168] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=9386f93ef1dc7e66
[0169] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c8a5e365572848c0
[0170] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=cc3e605f2df95ddb
[0171] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=126b17a52d2ead6f
[0172] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=68a3ed02a3fb141e
[0173] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=d95461bcb5e58709
[0174] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=5a4cb617d756ad25
[0175] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f410beff00c087ff
[0176] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=47fefa3fe349fd9d
[0177] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=725 | hex=60920119523ef1ef
[0178] [TS: 1773208135755546700] Client(57919) -> Proj(3621) | VIDEO EPRD | len=20 | hex=4550524430363030c0a8580200000000
[0179] [TS: 1773208135755649000] Client(57919) -> Proj(3621) | VIDEO DATA | len=4 | hex=00000003
[0180] [TS: 1773208135755663700] Client(57919) -> Proj(3621) | VIDEO DATA | len=16 | hex=0000009002700110
[0181] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ffd8ffe000104a46
[0182] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f65479be28ff009e
[0183] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=6ca520636eb9894f
[0184] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=d656eb7e5b24a17f
[0185] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=9d16957365a9a4ca
[0186] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=892 | hex=390febd7f0ac8bef
[0187] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b6ced20b07c7f770
[0188] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=73dbacf1cb6adb97
[0189] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=1b0f3c73c73c12a5
[0190] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=84ec1bba950e3e7d
[0191] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fafc82fbedd1eac5
[0192] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=892 | hex=85a149a45aac305e
[0193] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=a0196f50b8d2e5b3
[0194] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=35ba4f2b2392d1ef
[0195] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fb524eb76b1ed717
[0196] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c0cfeb9ac693c576
[0197] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=20539007b54d55ec
[0198] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=892 | hex=29917855239418b5
