[*] Detected Video Port: 57919
[*] Detected Aux Port: 54294
[0058] [TS: 1773208135710058300] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=5eff00763ff3f8d1baf7fbb1ff009fc6
[0059] [TS: 1773208135710058300] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=037b8e2a31a4c8171b5b19cf55a2c031
[0060] [TS: 1773208135710058300] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=02daea24b01e5f7fef569dc7fc7bcbfe
[0061] [TS: 1773208135710058300] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=41ff007c9ff1a3fe128befee41ff007c
[0062] [TS: 1773208135710058300] Client(57919) -> Proj(3621) | VIDEO DATA | len=1172 | hex=8aff00df628ff847752ff9e2bff7d8ae
[0063] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2bbba28f6283ebd3ec8e13fb1751ff00
[0064] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fcfe0ffbf7ff00d7a3fe1136ff009fc1
[0065] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=0491ccf30fde28898a925faf38a006fd
[0066] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2e7939ea4d28b0883c4e4b334430a580
[0067] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=89d5d860f3275e71c7f4ed569b6943bb
[0068] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=8dff00d647f53fcaa4a8dffd647f53fc
[0069] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f5c0fe55223058013d29a2e13230a680
[0070] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f7aaf3e977124f348ac98639e7f8c641
[0071] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ff002a9aa19fefc7f53fca8021552f6e
[0072] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=a0b13699214a95c8e3afa5564d1e3575
[0073] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=4bfe3401768aa5e7cbff003ed27fdf4b
[0074] [TS: 1773208135719107200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=023d8fff003d0fe428d8ff00f3d0fe42
[0075] [TS: 1773208135723179900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=db595b39ce2a7a29a76771ca2a4acccd
[0076] [TS: 1773208135723179900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=45145001451450014514500145145001
[0077] [TS: 1773208135723179900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=a5fb3e37e7e6e4fa9e99f7cf4ef45ed8
[0078] [TS: 1773208135723179900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=80df979678a38f69881c3b6319fa123f
[0079] [TS: 1773208135723179900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=526bb0f10b6dd8e79519f9b2319f6ebe
[0080] [TS: 1773208135723179900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ce9a76f9777dedd9382dd73fc38ef9f4
[0081] [TS: 1773208135727698900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=7bfbd588aee26b23700158d41c8c74c7
[0082] [TS: 1773208135727698900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=9c743ea3daa786dde3d3fc81b776c207
[0083] [TS: 1773208135727698900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=47ef1d7009c36cc93c7a76eb5a7b0d1b
[0084] [TS: 1773208135727698900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=a8c1c535d6f848ef107f9a20017db9dc
[0085] [TS: 1773208135727698900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f931ff0077f5a3c98ffbbfad47697067
[0086] [TS: 1773208135727698900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1212 | hex=02000000000001ec7a00000004000000
[0087] [TS: 1773208135733442900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=5ef25817cafddb2ae7cce4e4039c63a7
